beschreibung,dauer_tage,budget_eur,land,region,technologie,projekttyp,teamgroesse,jahr,groesse,projekttyp_detail,ai_effizienz_faktor,stundensatz_eur
"Churn-Prediction-System für Schmidt AG. Feature Engineering auf 50+ Variablen, XGBoost-Ensemble, SHAP-Erklärbarkeit, automatische Handlungsempfehlungen, A/B-Test-Framework zur Validierung.",189,623254,DE,DE-HH,Python/ML,Neuentwicklung,4,2023,gross,ML Predictive Analytics,0.85,95
"Responsive Landing Page für Köhler Automotive mit Kontaktformular, SEO-Optimierung und Google Analytics Integration. Design nach Kundenvorgabe in Figma, Umsetzung mit React und Tailwind CSS.",15,8345,DE,DE-HH,JavaScript,Neuentwicklung,1,2022,klein,Landing Page,0.92,80
"REST API für Schwarz Energie mit 8 Endpoints, JWT-Authentifizierung, PostgreSQL-Datenbank, automatischer Swagger-Dokumentation und Docker-Containerisierung für einfaches Deployment.",18,11624,AT,AT,Backend,Neuentwicklung,1,2025,klein,REST API einfach,0.72,88
"Vertriebssteuerungs-CRM für Becker & Partner. React, GraphQL API, Angebots-Erstellung mit PDF-Export, Wiedervorlage-System, Outlook-Kalender-Synchronisation, Mobilansicht für Außendienst.",72,134831,DE,DE-HE,JavaScript,Neuentwicklung,3,2023,mittel,CRM-System,0.85,81
"Event-Ticketing-System für Maier Group. Next.js, Seat-Map-Visualisierung, QR-Code-Ticket-Generierung, Warteliste, Gutscheinverwaltung, automatische Kapazitätssteuerung.",67,102854,DE,DE-HH,JavaScript,Neuentwicklung,3,2022,mittel,Buchungssystem mittel,0.92,80
"Terminbuchungsportal für Köhler Automotive (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",31,20344,DE,DE-HE,JavaScript,Neuentwicklung,1,2023,klein,Buchungssystem klein,0.85,81
"WooCommerce-Shop für Schmidt AG mit bis zu 200 Produkten, Stripe- und PayPal-Zahlungsanbindung, automatisierter Bestellbestätigung per E-Mail und einfacher Lagerverwaltung.",37,14959,DE,DE-SN,PHP,Neuentwicklung,1,2020,klein,Einfacher Online-Shop,1.0,52
"Ablösung des Legacy-Systems von Becker Pharma (15 Jahre alt, COBOL/Oracle). Strangler-Fig-Muster, schrittweise Migration von 40 Modulen, paralleler Betrieb beider Systeme für 6 Monate, Zero-Downtime-Cutover.",486,972842,DE,DE-HE,Java,Migration,3,2023,gross,Legacy Migration Enterprise,1.0,87
"Unternehmensweite Prozessplattform für Braun Logistics auf .NET 8 Basis. Workflow-Engine für 20 Genehmigungsprozesse, Power BI Embedded für Berichte, Azure AD Integration, On-Premise-Deployment auf Kundensystemen.",260,1029609,DE,DE-HE,.NET,Neuentwicklung,7,2024,gross,.NET Enterprise Platform,0.78,87
"KPI-Dashboard für Bauer Digital. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",20,18156,DE,DE-HH,JavaScript,Neuentwicklung,1,2026,klein,Dashboard einfach,0.68,90
"Terminbuchungsportal für Lange Finance (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",21,12979,DE,DE-TH,JavaScript,Neuentwicklung,1,2022,klein,Buchungssystem klein,0.92,64
"Einzel-Landing-Page für Produktlaunch von Zimmermann IT. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",4,4401,AT,AT,JavaScript,Neuentwicklung,1,2022,klein,Landing Page,0.92,76
"Shopify-Onlineshop für Frank Legal. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",22,15340,DE,DE-HH,PHP,Neuentwicklung,1,2024,klein,Einfacher Online-Shop,0.78,72
"Buchungs- und Reservierungsplattform für Weiß Transport mit Multi-Location-Support, dynamischer Preisgestaltung, Gruppenreservierungen, Stornogebühren-Logik und Anbindung an Zahlungsanbieter.",70,92341,AT,AT,JavaScript,Neuentwicklung,3,2020,mittel,Buchungssystem mittel,1.0,72
"Unternehmenswebsite für Klein Software auf WordPress-Basis. Custom-Theme-Entwicklung, WooCommerce-Integration für digitale Downloads, SEO-Plugin-Konfiguration, Hosting-Setup.",30,21840,CH,CH,PHP,Neuentwicklung,1,2022,klein,WordPress Website,0.92,99
"Wartung und Erweiterung des bestehenden WordPress-Systems von Schwarz Energie. Plugin-Updates, Sicherheits-Audit, neue Such- und Filterfunktionen, Optimierung der Ladezeiten auf unter 2 Sekunden.",16,10065,DE,DE-BY,PHP,Weiterentwicklung,1,2023,klein,Legacy Bugfixing & Weiterentwicklung,0.85,73
"Einzel-Landing-Page für Produktlaunch von Schwarz Energie. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",5,3919,DE,DE-HE,JavaScript,Neuentwicklung,1,2018,klein,Landing Page,1.0,70
"Maßgeschneiderte E-Commerce-Plattform für Schwarz Energie mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",150,186604,DE,DE-TH,PHP,Neuentwicklung,3,2021,mittel,E-Commerce Platform,0.97,52
"Buchungs- und Reservierungsplattform für Becker Pharma mit Multi-Location-Support, dynamischer Preisgestaltung, Gruppenreservierungen, Stornogebühren-Logik und Anbindung an Zahlungsanbieter.",77,74761,DE,DE-TH,JavaScript,Neuentwicklung,2,2019,mittel,Buchungssystem mittel,1.0,58
"Shopify-Onlineshop für Wolf Systems. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",29,18722,DE,DE-HE,PHP,Neuentwicklung,1,2024,klein,Einfacher Online-Shop,0.78,71
"Management-Dashboard für Becker & Partner zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",44,25211,DE,DE-HE,JavaScript,Neuentwicklung,1,2022,klein,Dashboard einfach,0.92,78
"Unternehmensportal für Frank Legal (800 Mitarbeiter) mit bidirektionaler SAP HR-Schnittstelle, SSO via Azure AD, Urlaubsmanagement, Zeiterfassung, Gehaltsabruf und Weiterbildungsmodul. React Frontend, Java Spring Boot Backend.",185,890103,AT,AT,SAP,Neuentwicklung,7,2023,gross,SAP-Integration Portal,0.85,115
"Krankenhausinformationssystem-Modul für Lange Finance. HL7-Messaging, DICOM-Viewer-Integration, Medikationsplan-Modul nach BMP-Standard, IHE-XDS-Dokumentenmanagement, BSI-Grundschutz.",271,1333862,DE,DE-BY,Java,Neuentwicklung,7,2023,gross,Gesundheitswesenportal,0.85,93
"B2B-Online-Shop für Becker Pharma. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",83,125326,DE,DE-HH,PHP,Neuentwicklung,3,2023,mittel,E-Commerce Platform,0.85,70
"Online-Buchungssystem für Schulz Media mit Kalenderansicht, automatischen E-Mail-Erinnerungen, Zahlungsintegration via Stripe und Admin-Backend zur Terminverwaltung. React Frontend, Node.js Backend.",21,25591,CH,CH,JavaScript,Neuentwicklung,1,2024,klein,Buchungssystem klein,0.78,124
"Vollständige Neuentwicklung des Kernbanksystems von Krause Retail. Java Spring Boot Microservices, Event Sourcing, CQRS, Migrationsskripte für 2 Mio. Datensätze, Compliance-Anforderungen BaFin.",490,1276936,DE,DE-NW,Java,Migration,5,2020,gross,Legacy Migration Enterprise,1.0,77
"Unternehmenswebsite für Hartmann Health auf WordPress-Basis. Custom-Theme-Entwicklung, WooCommerce-Integration für digitale Downloads, SEO-Plugin-Konfiguration, Hosting-Setup.",14,7903,DE,DE-NW,PHP,Neuentwicklung,1,2018,klein,WordPress Website,1.0,57
"Responsive Landing Page für Schwarz Energie mit Kontaktformular, SEO-Optimierung und Google Analytics Integration. Design nach Kundenvorgabe in Figma, Umsetzung mit React und Tailwind CSS.",10,7050,DE,DE-NW,JavaScript,Neuentwicklung,1,2025,klein,Landing Page,0.72,84
"Shopify-Onlineshop für Klein Software. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",20,11584,DE,DE-SN,PHP,Neuentwicklung,1,2025,klein,Einfacher Online-Shop,0.72,61
"Microservice-API für Wolf Systems. Python FastAPI, 5 CRUD-Endpoints, Rate-Limiting, API-Key-Verwaltung, automatisierte Tests mit pytest, CI/CD-Pipeline via GitHub Actions.",23,12742,AT,AT,Backend,Neuentwicklung,1,2019,klein,REST API einfach,1.0,73
"Responsive Landing Page für Becker Pharma mit Kontaktformular, SEO-Optimierung und Google Analytics Integration. Design nach Kundenvorgabe in Figma, Umsetzung mit React und Tailwind CSS.",15,6915,DE,DE-TH,JavaScript,Neuentwicklung,1,2022,klein,Landing Page,0.92,64
"Maßgeschneiderte E-Commerce-Plattform für Schäfer Insurance mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",80,98834,DE,DE-NW,PHP,Neuentwicklung,2,2022,mittel,E-Commerce Platform,0.92,65
"Flutter-App für Braun Logistics. Kartenintegration via Google Maps, Foto-Upload mit Bildkomprimierung, Echtzeit-Chat via WebSocket, Biometrie-Login, automatische App-Store-Deployment-Pipeline.",46,117576,DE,DE-BW,Mobile,Neuentwicklung,3,2023,mittel,Mobile App mittel,0.85,92
"B2B-Handelsplattform für Schwarz Energie. Microservices-Architektur (12 Services), Kubernetes-Deployment, Punchout-Katalog für EDI-Anbindung, dynamische Preislogik, Self-Service-Kundenportal.",417,1050254,AT,AT,Java,Neuentwicklung,5,2020,gross,Enterprise E-Commerce,1.0,77
"Unternehmensportal für Schäfer Insurance (800 Mitarbeiter) mit bidirektionaler SAP HR-Schnittstelle, SSO via Azure AD, Urlaubsmanagement, Zeiterfassung, Gehaltsabruf und Weiterbildungsmodul. React Frontend, Java Spring Boot Backend.",252,1201451,DE,DE-BY,SAP,Neuentwicklung,7,2023,gross,SAP-Integration Portal,0.85,126
"Einzel-Landing-Page für Produktlaunch von Weiß Transport. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",17,9503,AT,AT,JavaScript,Neuentwicklung,1,2020,klein,Landing Page,1.0,72
"Microservice-API für Müller GmbH. Python FastAPI, 5 CRUD-Endpoints, Rate-Limiting, API-Key-Verwaltung, automatisierte Tests mit pytest, CI/CD-Pipeline via GitHub Actions.",39,24520,DE,DE-BY,Backend,Neuentwicklung,1,2023,klein,REST API einfach,0.85,90
"SAP S/4HANA-Anbindung für Fischer Handel. Fiori-ähnliches Portal, RFC-Schnittstellen für MM/PP/FI, Custom ABAP-Entwicklung, Echtzeit-Datensynchronisation, Rollout auf 3 Werke.",212,888806,DE,DE-SN,SAP,Neuentwicklung,7,2021,gross,SAP-Integration Portal,0.97,93
"Management-Dashboard für Weiß Transport zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",31,24980,DE,DE-BY,JavaScript,Neuentwicklung,1,2023,klein,Dashboard einfach,0.85,86
"REST API für Richter Tech mit 8 Endpoints, JWT-Authentifizierung, PostgreSQL-Datenbank, automatischer Swagger-Dokumentation und Docker-Containerisierung für einfaches Deployment.",12,13697,CH,CH,Backend,Neuentwicklung,1,2022,klein,REST API einfach,0.92,123
"KPI-Dashboard für Wolf Systems. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",19,16024,DE,DE-HE,JavaScript,Neuentwicklung,1,2023,klein,Dashboard einfach,0.85,81
"Middleware-Lösung für Bauer Digital zur Anbindung von 4 Drittsystemen (CRM, ERP, Shop, Versand). Message-Queue via RabbitMQ, Retry-Logik, Monitoring-Dashboard, detailliertes Fehler-Logging.",84,90400,DE,DE-TH,Backend,Neuentwicklung,2,2023,mittel,API-Integration Middleware,0.85,69
"Event-Ticketing-System für Hartmann Health. Next.js, Seat-Map-Visualisierung, QR-Code-Ticket-Generierung, Warteliste, Gutscheinverwaltung, automatische Kapazitätssteuerung.",61,63326,DE,DE-SN,JavaScript,Neuentwicklung,2,2022,mittel,Buchungssystem mittel,0.92,65
"Maßgeschneiderte E-Commerce-Plattform für Zimmermann IT mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",132,155125,DE,DE-SN,PHP,Neuentwicklung,3,2021,mittel,E-Commerce Platform,0.97,54
"REST API für Zimmermann IT mit 8 Endpoints, JWT-Authentifizierung, PostgreSQL-Datenbank, automatischer Swagger-Dokumentation und Docker-Containerisierung für einfaches Deployment.",20,17546,CH,CH,Backend,Neuentwicklung,1,2020,klein,REST API einfach,1.0,115
"Cross-Platform-App (iOS & Android) für Krüger Education mit 12 Screens, Nutzerregistrierung, Push-Notifications, Offline-Fähigkeit durch lokale SQLite-Datenbank und REST-API-Anbindung. React Native.",91,113628,DE,DE-BE,Mobile,Neuentwicklung,2,2022,mittel,Mobile App mittel,0.92,81
"REST API für Schmidt AG mit 8 Endpoints, JWT-Authentifizierung, PostgreSQL-Datenbank, automatischer Swagger-Dokumentation und Docker-Containerisierung für einfaches Deployment.",19,12979,DE,DE-HH,Backend,Neuentwicklung,1,2026,klein,REST API einfach,0.68,94
"Management-Dashboard für Bauer Digital zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",26,17350,AT,AT,JavaScript,Neuentwicklung,1,2023,klein,Dashboard einfach,0.85,78
"Shopify-Onlineshop für Schäfer Insurance. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",18,15187,DE,DE-HE,PHP,Neuentwicklung,1,2023,klein,Einfacher Online-Shop,0.85,69
"Wartung und Erweiterung des bestehenden WordPress-Systems von Neumann Services. Plugin-Updates, Sicherheits-Audit, neue Such- und Filterfunktionen, Optimierung der Ladezeiten auf unter 2 Sekunden.",9,8168,AT,AT,PHP,Weiterentwicklung,1,2023,klein,Legacy Bugfixing & Weiterentwicklung,0.85,67
"Maßgeschneiderte E-Commerce-Plattform für Maier Group mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",97,142332,DE,DE-BY,PHP,Neuentwicklung,3,2024,mittel,E-Commerce Platform,0.78,75
"KPI-Dashboard für Weber Consulting. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",28,16277,DE,DE-SN,JavaScript,Neuentwicklung,1,2021,klein,Dashboard einfach,0.97,63
"Event-Ticketing-System für Wagner Immobilien. Next.js, Seat-Map-Visualisierung, QR-Code-Ticket-Generierung, Warteliste, Gutscheinverwaltung, automatische Kapazitätssteuerung.",32,78680,AT,AT,JavaScript,Neuentwicklung,3,2025,mittel,Buchungssystem mittel,0.72,84
"Terminbuchungsportal für Müller GmbH (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",60,28609,DE,DE-SN,JavaScript,Neuentwicklung,1,2022,klein,Buchungssystem klein,0.92,65
"Unternehmensweite Prozessplattform für Maier Group auf .NET 8 Basis. Workflow-Engine für 20 Genehmigungsprozesse, Power BI Embedded für Berichte, Azure AD Integration, On-Premise-Deployment auf Kundensystemen.",342,911863,AT,AT,.NET,Neuentwicklung,6,2019,gross,.NET Enterprise Platform,1.0,73
"B2B-Online-Shop für Schwarz Energie. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",106,153016,AT,AT,PHP,Neuentwicklung,3,2024,mittel,E-Commerce Platform,0.78,69
"Maßgeschneiderte E-Commerce-Plattform für Schäfer Insurance mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",87,97379,DE,DE-SN,PHP,Neuentwicklung,2,2026,mittel,E-Commerce Platform,0.68,63
"Digitales Patientenportal für Richter Tech mit KV-Anbindung, HL7 FHIR Schnittstelle, Telematikinfrastruktur-Anbindung, ePA-Integration, DSGVO- und KRITIS-konformes Sicherheitskonzept.",185,679117,CH,CH,Java,Neuentwicklung,3,2019,gross,Gesundheitswesenportal,1.0,115
"Terminbuchungsportal für Zimmermann IT (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",46,18144,DE,DE-SN,JavaScript,Neuentwicklung,1,2019,klein,Buchungssystem klein,1.0,60
"Ablösung des Legacy-Systems von Krüger Education (15 Jahre alt, COBOL/Oracle). Strangler-Fig-Muster, schrittweise Migration von 40 Modulen, paralleler Betrieb beider Systeme für 6 Monate, Zero-Downtime-Cutover.",486,1563778,CH,CH,Java,Migration,3,2024,gross,Legacy Migration Enterprise,1.0,134
"WordPress-Website für Becker Pharma mit 8 Unterseiten, Blog-Funktion, mehrsprachigem Plugin (WPML), individuell entwickeltem Child-Theme und Kontaktformular mit DSGVO-konformer Datenspeicherung.",14,7561,DE,DE-HH,PHP,Neuentwicklung,1,2023,klein,WordPress Website,0.85,70
"Maßgeschneidertes CRM für Wolf Systems mit Kontaktverwaltung, Pipeline-Tracking, E-Mail-Integration via IMAP/SMTP, Aktivitäten-Log, Reporting-Dashboard und CSV-Import für Bestandsdaten.",69,106559,DE,DE-TH,JavaScript,Neuentwicklung,3,2023,mittel,CRM-System,0.85,66
"Vertriebssteuerungs-CRM für Müller GmbH. React, GraphQL API, Angebots-Erstellung mit PDF-Export, Wiedervorlage-System, Outlook-Kalender-Synchronisation, Mobilansicht für Außendienst.",86,126251,DE,DE-HE,JavaScript,Neuentwicklung,3,2021,mittel,CRM-System,0.97,76
"Unternehmenswebsite für Hoffmann Solutions auf WordPress-Basis. Custom-Theme-Entwicklung, WooCommerce-Integration für digitale Downloads, SEO-Plugin-Konfiguration, Hosting-Setup.",14,6959,DE,DE-TH,PHP,Neuentwicklung,1,2021,klein,WordPress Website,0.97,52
"Wartung und Erweiterung des bestehenden WordPress-Systems von Neumann Services. Plugin-Updates, Sicherheits-Audit, neue Such- und Filterfunktionen, Optimierung der Ladezeiten auf unter 2 Sekunden.",9,11216,CH,CH,PHP,Weiterentwicklung,1,2023,klein,Legacy Bugfixing & Weiterentwicklung,0.85,102
"Cross-Platform-App (iOS & Android) für Schmidt AG mit 12 Screens, Nutzerregistrierung, Push-Notifications, Offline-Fähigkeit durch lokale SQLite-Datenbank und REST-API-Anbindung. React Native.",104,194516,DE,DE-HH,Mobile,Neuentwicklung,3,2020,mittel,Mobile App mittel,1.0,83
"Business-Intelligence-Tool für Hoffmann Solutions mit automatisierten Tagesberichten, interaktiven Drill-Down-Charts, Anomalie-Erkennung bei KPIs, Slack-Integration für Alerts und Export-Funktion.",75,125057,DE,DE-NW,Python/ML,Neuentwicklung,3,2023,mittel,Reporting & Analytics Tool,0.85,91
"REST API für Klein Software mit 8 Endpoints, JWT-Authentifizierung, PostgreSQL-Datenbank, automatischer Swagger-Dokumentation und Docker-Containerisierung für einfaches Deployment.",24,15019,DE,DE-HH,Backend,Neuentwicklung,1,2022,klein,REST API einfach,0.92,84
"Management-Dashboard für Bauer Digital zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",31,23721,DE,DE-HE,JavaScript,Neuentwicklung,1,2024,klein,Dashboard einfach,0.78,84
"Business-Intelligence-Tool für Richter Tech mit automatisierten Tagesberichten, interaktiven Drill-Down-Charts, Anomalie-Erkennung bei KPIs, Slack-Integration für Alerts und Export-Funktion.",56,114036,DE,DE-HH,Python/ML,Neuentwicklung,3,2023,mittel,Reporting & Analytics Tool,0.85,95
"REST API für Hartmann Health mit 8 Endpoints, JWT-Authentifizierung, PostgreSQL-Datenbank, automatischer Swagger-Dokumentation und Docker-Containerisierung für einfaches Deployment.",32,16656,DE,DE-BY,Backend,Neuentwicklung,1,2019,klein,REST API einfach,1.0,80
"HR-Self-Service-Portal für Krause Retail (150 Mitarbeiter). Vue.js, REST API, Gehaltsabruf-Modul, Weiterbildungskalender, digitale Personalakte, rollenbasierte Zugriffsrechte, DSGVO-konformes Audit-Log.",51,67322,DE,DE-TH,JavaScript,Neuentwicklung,2,2024,mittel,Mitarbeiterportal,0.78,68
"B2B-Online-Shop für Weiß Transport. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",132,109757,DE,DE-BE,PHP,Neuentwicklung,2,2018,mittel,E-Commerce Platform,1.0,55
"Cross-Platform-App (iOS & Android) für Hartmann Health mit 12 Screens, Nutzerregistrierung, Push-Notifications, Offline-Fähigkeit durch lokale SQLite-Datenbank und REST-API-Anbindung. React Native.",78,114676,DE,DE-BE,Mobile,Neuentwicklung,3,2018,mittel,Mobile App mittel,1.0,72
"WordPress-Website für Schulz Media mit 8 Unterseiten, Blog-Funktion, mehrsprachigem Plugin (WPML), individuell entwickeltem Child-Theme und Kontaktformular mit DSGVO-konformer Datenspeicherung.",19,15718,CH,CH,PHP,Neuentwicklung,1,2018,klein,WordPress Website,1.0,88
"Predictive-Analytics-Plattform für Schmidt AG. Nachfrageprognose mit LSTM-Modell (MAPE < 8%), Anomalie-Erkennung im Produktionsprozess, MLflow für Modell-Versionierung, REST API für ERP-Anbindung, monatliches Retraining.",305,413534,DE,DE-BE,Python/ML,Neuentwicklung,3,2020,gross,ML Predictive Analytics,1.0,80
"Maßgeschneiderte E-Commerce-Plattform für Koch Industries mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",82,119385,DE,DE-TH,PHP,Neuentwicklung,3,2022,mittel,E-Commerce Platform,0.92,54
"KI-gestütztes Dokumentenmanagementsystem für Schwarz Energie mit automatischer Klassifikation per NLP (BERT), Volltextsuche via Elasticsearch, Versionierung, Zugriffsrollen und DSGVO-konformem Hosting auf deutschen Servern.",165,391791,DE,DE-HH,Python/ML,Neuentwicklung,3,2024,gross,ML Dokumentenmanagement,0.78,99
"WordPress-Website für Krause Retail mit 8 Unterseiten, Blog-Funktion, mehrsprachigem Plugin (WPML), individuell entwickeltem Child-Theme und Kontaktformular mit DSGVO-konformer Datenspeicherung.",26,11385,DE,DE-HH,PHP,Neuentwicklung,1,2018,klein,WordPress Website,1.0,60
"KPI-Dashboard für Wolf Systems. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",25,12449,DE,DE-TH,JavaScript,Neuentwicklung,1,2022,klein,Dashboard einfach,0.92,64
"Unternehmenswebsite für Schwarz Energie auf WordPress-Basis. Custom-Theme-Entwicklung, WooCommerce-Integration für digitale Downloads, SEO-Plugin-Konfiguration, Hosting-Setup.",16,7285,DE,DE-BY,PHP,Neuentwicklung,1,2019,klein,WordPress Website,1.0,65
"Enterprise-E-Commerce-Plattform für Schulz Media mit 50.000+ Produkten, Multi-Mandanten-Fähigkeit, Echtzeit-Bestandssynchronisation, KI-gestützter Produktempfehlung, A/B-Testing-Framework und DACH-Lokalisierung.",264,981179,DE,DE-HH,Java,Neuentwicklung,6,2024,gross,Enterprise E-Commerce,0.78,92
"B2B-Online-Shop für Koch Industries. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",160,208942,DE,DE-TH,PHP,Neuentwicklung,3,2023,mittel,E-Commerce Platform,0.85,56
